company,year,text,label,score,score_diff,all_labels,all_scores,text_short
Audi,2023,"Audi wird ein ""rein elektrisches Produktportfolio"" haben.",konkrete Maßnahme,0.6431496143341064,0.4044594317674637,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6431496143341064, 0.23869018256664276, 0.11816021054983139]","Audi wird ein ""rein elektrisches Produktportfolio"" haben."
Audi,2023,"Langfristig wollen wir für Audi im Verbund mit Bentley, Lamborghini und Ducati 14 Prozent Rendite erreichen – für die Marke Audi bedeutet das eine Rendite von 13 Prozent.",unsicher,0.4392252266407013,0.11725297570228577,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.4392252266407013, 0.3219722509384155, 0.23880256712436676]","Langfristig wollen wir für Audi im Verbund mit Bentley, Lamborghini und Ducati 14 Prozent Rendite erreichen – für die Marke Audi bedeutet das eine Ren"
Audi,2023,Dabei streben wir ein nachhaltiges Wachstum an und fokussieren uns zudem auf die Verbesserung unserer ESG-Performance unter anderem bei der Dekarbonisierung der Wertschöpfungskette,konkrete Maßnahme,0.9968580603599548,0.9949109876761213,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9968580603599548, 0.0019470726838335395, 0.001194880111142993]",Dabei streben wir ein nachhaltiges Wachstum an und fokussieren uns zudem auf die Verbesserung unserer ESG-Performance unter anderem bei der Dekarbonis
Audi,2023,ökomische Nachhaltigkeit.,konkrete Maßnahme,0.9320992827415466,0.8782142139971256,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9320992827415466, 0.053885068744421005, 0.014015638269484043]",ökomische Nachhaltigkeit.
Audi,2023,Wir transformieren unser Unternehmen in Richtung Elektromobilität sowie Digitalisierung,konkrete Maßnahme,0.6108389496803284,0.3045884072780609,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6108389496803284, 0.30625054240226746, 0.08291060477495193]",Wir transformieren unser Unternehmen in Richtung Elektromobilität sowie Digitalisierung
Audi,2023,* Eine Operative Umsatzrendite von 13 Prozent für die Marke Audi,fragwürdige Nachhaltigkeitsaussage,0.5439940094947815,0.20157074928283691,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.5439940094947815, 0.3424232602119446, 0.1135827824473381]",* Eine Operative Umsatzrendite von 13 Prozent für die Marke Audi
Audi,2023,* Eine Operative Umsatzrendite von 14 Prozent für den Audi Konzern,fragwürdige Nachhaltigkeitsaussage,0.5324203372001648,0.17216667532920837,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.5324203372001648, 0.3602536618709564, 0.10732599347829819]",* Eine Operative Umsatzrendite von 14 Prozent für den Audi Konzern
Audi,2023,Langfristig haben wir uns für den Audi Konzern eine Rendite von 14 Prozent vorgenommen.,unsicher,0.42318037152290344,0.02173793315887451,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.42318037152290344, 0.40144243836402893, 0.17537721991539001]",Langfristig haben wir uns für den Audi Konzern eine Rendite von 14 Prozent vorgenommen.
Audi,2023,"""Der komplette Umstieg auf die Produktion von Elektrofahrzeugen.""",fragwürdige Nachhaltigkeitsaussage,0.5389208793640137,0.1582586169242859,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.5389208793640137, 0.3806622624397278, 0.08041694760322571]","""Der komplette Umstieg auf die Produktion von Elektrofahrzeugen."""
Audi,2023,Audi wird das Produktportfolio transformieren und komplett auf Elektrofahrzeuge umstellen.,unsicher,0.4699081480503082,0.014457523822784424,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.4699081480503082, 0.4554506242275238, 0.07464127242565155]",Audi wird das Produktportfolio transformieren und komplett auf Elektrofahrzeuge umstellen.
