company,year,text,label,score,score_diff,all_labels,all_scores,text_short
Mercedes-Benz,2023,Hier ist die Ergebnisliste:,fragwürdige Nachhaltigkeitsaussage,0.5332862734794617,0.22191929817199707,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.5332862734794617, 0.3113669753074646, 0.15534678101539612]",Hier ist die Ergebnisliste:
Mercedes-Benz,2023,1.  Die nachhaltige Geschäftsstrategie des Unternehmens soll zu einer positiven Veränderung der Welt beitragen.,konkrete Maßnahme,0.9987114667892456,0.9976895294385031,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9987114667892456, 0.001021937350742519, 0.0002665882930159569]",1.  Die nachhaltige Geschäftsstrategie des Unternehmens soll zu einer positiven Veränderung der Welt beitragen.
Mercedes-Benz,2023,"1. Mercedes-Benz verpflichtet sich zur langfristigen Erfüllung der Ansprüche im Hinblick auf Nachhaltigkeit, soziale Verantwortung und gute Unternehmensführung.",konkrete Maßnahme,0.9473437070846558,0.9074222519993782,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9473437070846558, 0.03992145508527756, 0.01273476704955101]","1. Mercedes-Benz verpflichtet sich zur langfristigen Erfüllung der Ansprüche im Hinblick auf Nachhaltigkeit, soziale Verantwortung und gute Unternehme"
Mercedes-Benz,2023,1. Das Unternehmen plant die Dekarbonisierung voranzutreiben.,konkrete Maßnahme,0.9525078535079956,0.9221574664115906,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9525078535079956, 0.03035038709640503, 0.017141804099082947]",1. Das Unternehmen plant die Dekarbonisierung voranzutreiben.
Mercedes-Benz,2023,2. Die Verkäufe von vollelektrischen Pkw der Marke Mercedes-Benz sollen gesteigert werden.,konkrete Maßnahme,0.502729058265686,0.17750820517539978,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.502729058265686, 0.32522085309028625, 0.1720501184463501]",2. Die Verkäufe von vollelektrischen Pkw der Marke Mercedes-Benz sollen gesteigert werden.
Mercedes-Benz,2023,"Hier sind die Nachhaltigkeitsversprechen des Textes in klaren, prägnanten Stichpunkten:",konkrete Maßnahme,0.9995945692062378,0.9992886539548635,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9995945692062378, 0.0003059152513742447, 9.951030369848013e-05]","Hier sind die Nachhaltigkeitsversprechen des Textes in klaren, prägnanten Stichpunkten:"
Mercedes-Benz,2023,1.  Bis 2030 soll ein eigenes Mercedes-Benz Schnelllade-Netzwerk mit mehr als 10.000 Ladepunkten in Kernmärkten installiert werden.,konkrete Maßnahme,0.5958274602890015,0.3110608756542206,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.5958274602890015, 0.2847665846347809, 0.11940596997737885]",1.  Bis 2030 soll ein eigenes Mercedes-Benz Schnelllade-Netzwerk mit mehr als 10.000 Ladepunkten in Kernmärkten installiert werden.
Mercedes-Benz,2023,2.  Die Transformation soll vollelektrisch werden.,konkrete Maßnahme,0.5647328495979309,0.23693159222602844,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.5647328495979309, 0.32780125737190247, 0.10746584087610245]",2.  Die Transformation soll vollelektrisch werden.
Mercedes-Benz,2023,Hier sind die Nachhaltigkeitsversprechen in klaren Stichpunkten:,konkrete Maßnahme,0.9995145201683044,0.9991132189170457,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9995145201683044, 0.0004013012512587011, 8.411731687374413e-05]",Hier sind die Nachhaltigkeitsversprechen in klaren Stichpunkten:
Mercedes-Benz,2023,1. Bis 2039 bilanziell CO2-neutral über die gesamte Wertschöpfungskette hinweg werden.,konkrete Maßnahme,0.9810839295387268,0.9690082063898444,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9810839295387268, 0.012075723148882389, 0.006840341258794069]",1. Bis 2039 bilanziell CO2-neutral über die gesamte Wertschöpfungskette hinweg werden.
Mercedes-Benz,2023,"2. Batterieproduktion ausbauen, um den Kreislauf zu schließen.",unsicher,0.4194396734237671,0.08666211366653442,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.4194396734237671, 0.33277755975723267, 0.24778279662132263]","2. Batterieproduktion ausbauen, um den Kreislauf zu schließen."
Mercedes-Benz,2023,"3. Eine Batterierecyclingfabrik eröffnen, um den Kreislauf zu schließen.",konkrete Maßnahme,0.7531226873397827,0.6162364929914474,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.7531226873397827, 0.13688619434833527, 0.1099911481142044]","3. Eine Batterierecyclingfabrik eröffnen, um den Kreislauf zu schließen."
Mercedes-Benz,2023,Diese Stichpunkte enthalten die konkreten Nachhaltigkeitsversprechen des Unternehmens und sind frei von doppelten oder sinngemäß gleichen Aussagen.,konkrete Maßnahme,0.998745322227478,0.997714328346774,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.998745322227478, 0.0010309938807040453, 0.00022362224990502]",Diese Stichpunkte enthalten die konkreten Nachhaltigkeitsversprechen des Unternehmens und sind frei von doppelten oder sinngemäß gleichen Aussagen.
Mercedes-Benz,2023,1.  Investition in die Qualifizierung der Belegschaft.,konkrete Maßnahme,0.6119416952133179,0.33095231652259827,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6119416952133179, 0.2809893786907196, 0.10706894844770432]",1.  Investition in die Qualifizierung der Belegschaft.
Mercedes-Benz,2023,2.  Sozial gerechte Transformation bei der Standortentwicklung zu Kompetenzzentren.,konkrete Maßnahme,0.9683056473731995,0.950396467000246,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9683056473731995, 0.017909180372953415, 0.013785186223685741]",2.  Sozial gerechte Transformation bei der Standortentwicklung zu Kompetenzzentren.
Mercedes-Benz,2023,3.  Verantwortungsvoller Umgang mit KI durch eigene Prinzipien.,konkrete Maßnahme,0.7420288920402527,0.6064989268779755,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.7420288920402527, 0.13552996516227722, 0.1224411278963089]",3.  Verantwortungsvoller Umgang mit KI durch eigene Prinzipien.
Mercedes-Benz,2023,"1. Verantwortungsvoller Umgang mit Daten, um das Vertrauen der Kunden zu stärken.",konkrete Maßnahme,0.8394021987915039,0.7451318800449371,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.8394021987915039, 0.09427031874656677, 0.06632745265960693]","1. Verantwortungsvoller Umgang mit Daten, um das Vertrauen der Kunden zu stärken."
Mercedes-Benz,2023,"Hier sind die Nachhaltigkeitsversprechen, die ich aus dem Text extrahiert habe:",konkrete Maßnahme,0.8735854029655457,0.808588519692421,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.8735854029655457, 0.0649968832731247, 0.06141773983836174]","Hier sind die Nachhaltigkeitsversprechen, die ich aus dem Text extrahiert habe:"
Mercedes-Benz,2023,1. Kontinuierliche Verbesserung der Transparenz in den Lieferketten zur Achtung der Menschenrechte entlang der Wertschöpfungsketten.,konkrete Maßnahme,0.9245866537094116,0.8732713274657726,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9245866537094116, 0.05131532624363899, 0.024098029360175133]",1. Kontinuierliche Verbesserung der Transparenz in den Lieferketten zur Achtung der Menschenrechte entlang der Wertschöpfungsketten.
Mercedes-Benz,2023,Hier sind die extrahierten Nachhaltigkeitsversprechen:,konkrete Maßnahme,0.6895618438720703,0.4316711127758026,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.6895618438720703, 0.2578907310962677, 0.0525473989546299]",Hier sind die extrahierten Nachhaltigkeitsversprechen:
Mercedes-Benz,2023,1. Die Rechte der Menschen schützen.,unsicher,0.4760257601737976,0.061638861894607544,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.4760257601737976, 0.41438689827919006, 0.10958734154701233]",1. Die Rechte der Menschen schützen.
Mercedes-Benz,2023,2. Eine stärkere Fokussierung und Bündelung von Nachhaltigkeitsthemen sicherstellen.,konkrete Maßnahme,0.9993619918823242,0.9988124895608053,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9993619918823242, 0.0005495023215189576, 8.848570723785087e-05]",2. Eine stärkere Fokussierung und Bündelung von Nachhaltigkeitsthemen sicherstellen.
Mercedes-Benz,2023,"Hier sind die Nachhaltigkeitsversprechen, die ich aus dem Text extrahiert habe:",konkrete Maßnahme,0.8735854029655457,0.808588519692421,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.8735854029655457, 0.0649968832731247, 0.06141773983836174]","Hier sind die Nachhaltigkeitsversprechen, die ich aus dem Text extrahiert habe:"
