company,year,text,label,score,score_diff,all_labels,all_scores,text_short
Porsche,2023,"Effizienzsteigerung der Elektromobilität,",konkrete Maßnahme,0.6497491002082825,0.36865323781967163,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6497491002082825, 0.28109586238861084, 0.06915511190891266]","Effizienzsteigerung der Elektromobilität,"
Porsche,2023,"Ausbau der regenerativen Energieerzeugung,",konkrete Maßnahme,0.7836054563522339,0.6156218349933624,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.7836054563522339, 0.16798362135887146, 0.048410944640636444]","Ausbau der regenerativen Energieerzeugung,"
Porsche,2023,"flächendeckende Ladeinfrastruktur,",unsicher,0.48370561003685,0.03635105490684509,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.48370561003685, 0.4473545551300049, 0.06893984228372574]","flächendeckende Ladeinfrastruktur,"
Porsche,2023,Dekarbonisierung der Unternehmen.,konkrete Maßnahme,0.7727542519569397,0.5785128474235535,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.7727542519569397, 0.19424140453338623, 0.03300439566373825]",Dekarbonisierung der Unternehmen.
Porsche,2023,"""Unsere Elektrofahrzeuge werden noch leistungsfähiger, effizienter und damit noch attraktiver.""",konkrete Maßnahme,0.6673786044120789,0.4261417090892792,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6673786044120789, 0.24123689532279968, 0.09138453751802444]","""Unsere Elektrofahrzeuge werden noch leistungsfähiger, effizienter und damit noch attraktiver."""
Porsche,2023,"Wir haben die Ambition, im Jahr 2030 mehr als 80 Prozent unserer Neufahrzeuge vollelektrisch auszuliefern",konkrete Maßnahme,0.7457921504974365,0.5475970953702927,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.7457921504974365, 0.19819505512714386, 0.056012772023677826]","Wir haben die Ambition, im Jahr 2030 mehr als 80 Prozent unserer Neufahrzeuge vollelektrisch auszuliefern"
Porsche,2023,Zusätzlich arbeiten wir auf eine bilanziell CO2-neutrale Wertschöpfungskette unserer neu produzierten Fahrzeuge im Jahr 2030 hin.,konkrete Maßnahme,0.9981018304824829,0.9970603731926531,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9981018304824829, 0.0010414572898298502, 0.0008566793985664845]",Zusätzlich arbeiten wir auf eine bilanziell CO2-neutrale Wertschöpfungskette unserer neu produzierten Fahrzeuge im Jahr 2030 hin.
Porsche,2023,"Wir legen Wert darauf, unsere ambitionierten Nachhaltigkeitsziele zu verfolgen.",konkrete Maßnahme,0.9995228052139282,0.9991428576468024,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9995228052139282, 0.00037994756712578237, 9.719817899167538e-05]","Wir legen Wert darauf, unsere ambitionierten Nachhaltigkeitsziele zu verfolgen."
Porsche,2023,Nachhaltigkeit soll immer mehr Teil unserer Sportwagen werden.,konkrete Maßnahme,0.9971177577972412,0.9947175097186118,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9971177577972412, 0.0024002480786293745, 0.0004819587629754096]",Nachhaltigkeit soll immer mehr Teil unserer Sportwagen werden.
Porsche,2023,Ottomotoren potenziell nahezu CO2-neutral betrieben werden,konkrete Maßnahme,0.7176689505577087,0.4664191007614136,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.7176689505577087, 0.25124984979629517, 0.03108122944831848]",Ottomotoren potenziell nahezu CO2-neutral betrieben werden
Porsche,2023,"...Kohlendioxid in größeren Mengen aus der Atmosphäre gewonnen wird, kann diese Technologie einen potenziellen Beitrag leisten, um die globalen Klimaziele zu erreichen.",konkrete Maßnahme,0.8454557061195374,0.7045103907585144,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.8454557061195374, 0.14094531536102295, 0.013598955236375332]","...Kohlendioxid in größeren Mengen aus der Atmosphäre gewonnen wird, kann diese Technologie einen potenziellen Beitrag leisten, um die globalen Klimaz"
Porsche,2023,"Bei Porsche wollen wir Verantwortung übernehmen für nachhaltiges Handeln, für die Umwelt und die Gesellschaft.",konkrete Maßnahme,0.9943010807037354,0.9900091886520386,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9943010807037354, 0.004291892051696777, 0.0014070470351725817]","Bei Porsche wollen wir Verantwortung übernehmen für nachhaltiges Handeln, für die Umwelt und die Gesellschaft."
Porsche,2023,"""grün (green)""",konkrete Maßnahme,0.5240391492843628,0.253495454788208,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.5240391492843628, 0.2705436944961548, 0.2054171860218048]","""grün (green)"""
